Name,Points,100m,Long_Jump,Shot_Put,High_Jump,400m,110m_Hurdles,Discus,Pole_Vault,Javelin,1500m,Event_URL
Luigi Longarato,7162,11.08,6.7,12.82,1.92,49.78,14.84,38.6,4.0,50.24,284.88,https://www.decathlon2000.com/4095/talence-1988/
Christian Plaziat,8438,10.97,7.73,14.02,2.13,48.57,14.08,45.12,5.0,52.82,266.26,https://www.decathlon2000.com/702/talence-1989/
Dave Johnson,8361,11.2,7.2,14.18,2.04,48.77,14.49,46.64,5.0,66.46,265.76,https://www.decathlon2000.com/702/talence-1989/
Michael Smith,8317,10.96,7.52,14.25,2.07,48.44,14.64,44.24,4.4,68.4,266.81,https://www.decathlon2000.com/702/talence-1989/
Alain Blondel,8182,11.36,7.15,12.79,2.01,48.09,14.4,43.34,5.3,56.54,257.16,https://www.decathlon2000.com/702/talence-1989/
Rišardas Malachovskis,8117,11.52,6.9,13.81,2.1,48.86,14.73,45.26,4.8,61.0,255.57,https://www.decathlon2000.com/702/talence-1989/
Gary Kinder,8078,11.19,6.99,16.16,2.07,51.69,14.97,50.48,5.0,67.68,313.68,https://www.decathlon2000.com/702/talence-1989/
Simon Poelman,8039,10.95,7.15,14.93,2.04,50.6,14.76,42.88,5.0,54.36,270.74,https://www.decathlon2000.com/702/talence-1989/
Sheldon Blockburger,7982,11.18,7.46,13.5,2.13,49.99,14.79,42.4,4.7,62.16,289.67,https://www.decathlon2000.com/702/talence-1989/
Rene Günther,7868,11.6,7.2,14.31,2.04,50.96,15.02,48.1,4.7,55.46,269.37,https://www.decathlon2000.com/702/talence-1989/
Robert Zmelik,7847,11.19,7.69,12.87,2.07,50.85,14.23,39.2,4.7,52.8,276.71,https://www.decathlon2000.com/702/talence-1989/
Kip Janvrin,7831,11.31,6.84,14.11,1.98,49.61,15.23,39.92,4.9,55.96,251.8,https://www.decathlon2000.com/702/talence-1989/
Steve Odgers,7614,11.24,6.56,14.13,1.95,48.62,15.44,45.6,4.4,59.4,279.06,https://www.decathlon2000.com/702/talence-1989/
Patrick Gellens,7497,11.16,7.01,13.45,2.01,49.77,15.95,39.2,4.5,51.94,267.66,https://www.decathlon2000.com/702/talence-1989/
Christian Plaziat,8525,10.55,7.78,13.87,2.1,48.27,14.06,45.24,4.9,54.56,266.11,https://www.decathlon2000.com/703/talence-1990/
Christian Schenk,8330,11.42,7.47,15.2,2.19,50.79,15.21,48.86,4.9,60.48,265.36,https://www.decathlon2000.com/703/talence-1990/
Alain Blondel,8155,10.89,7.34,13.1,2.01,49.29,14.25,43.66,5.1,50.9,259.29,https://www.decathlon2000.com/703/talence-1990/
Antonio Penalver,8143,11.01,7.33,15.67,2.04,51.39,14.66,45.76,4.8,57.1,268.84,https://www.decathlon2000.com/703/talence-1990/
Andrei Nazarov,8079,10.94,7.28,12.44,2.13,50.63,14.03,43.9,4.8,56.28,271.62,https://www.decathlon2000.com/703/talence-1990/
Christian Mandrou,7730,11.02,7.08,12.05,2.01,49.13,14.47,39.16,4.4,57.98,267.26,https://www.decathlon2000.com/703/talence-1990/
Ivan Babi,7641,11.1,7.03,13.07,2.04,51.27,14.6,41.28,4.6,51.39,273.09,https://www.decathlon2000.com/703/talence-1990/
Raphael Coscoluella,7483,10.74,7.24,10.68,1.95,49.69,14.3,32.62,4.5,50.86,266.79,https://www.decathlon2000.com/703/talence-1990/
Jerome Coyco,7355,11.49,6.79,11.97,1.95,52.07,14.87,38.88,5.2,43.92,265.71,https://www.decathlon2000.com/703/talence-1990/
Jean-Bernard Royer,7171,11.34,6.39,12.6,1.98,50.62,14.96,39.16,4.6,54.86,302.52,https://www.decathlon2000.com/703/talence-1990/
Eric Levard,7167,11.59,6.85,12.76,1.95,50.91,15.21,34.42,4.4,47.8,260.52,https://www.decathlon2000.com/703/talence-1990/
Domenique Klinnick,7040,11.19,6.39,13.45,1.77,49.95,14.81,42.86,4.1,51.44,295.99,https://www.decathlon2000.com/703/talence-1990/
Loic Moreau,6986,11.38,6.67,12.04,2.01,51.08,15.07,35.88,4.2,42.5,275.0,https://www.decathlon2000.com/703/talence-1990/
Christian Plaziat,8456,10.93,7.73,15.07,2.12,48.35,14.1,47.08,4.9,52.62,275.71,https://www.decathlon2000.com/704/talence-1991/
Mikhail Medved,8216,11.27,7.42,16.08,2.06,51.03,15.01,49.2,4.9,62.36,277.96,https://www.decathlon2000.com/704/talence-1991/
Simon Poelman,8168,11.09,7.21,15.35,2.06,50.77,14.38,43.66,5.0,58.38,272.9,https://www.decathlon2000.com/704/talence-1991/
Eduard Hämäläinen,8064,11.18,7.02,13.83,2.06,48.92,14.44,46.44,5.0,52.64,272.21,https://www.decathlon2000.com/704/talence-1991/
Frank Müller,8017,11.08,7.48,13.73,1.97,48.4,14.76,41.78,4.7,60.7,273.9,https://www.decathlon2000.com/704/talence-1991/
Alain Blondel,7988,11.08,7.21,13.06,1.91,48.51,14.26,42.96,5.0,52.76,262.25,https://www.decathlon2000.com/704/talence-1991/
Andrew Fucci,7898,11.23,7.46,12.61,2.06,49.46,14.29,40.84,4.9,58.76,292.53,https://www.decathlon2000.com/704/talence-1991/
Steve Fritz,7887,11.11,7.15,12.58,2.15,49.9,14.82,42.2,4.8,57.22,281.45,https://www.decathlon2000.com/704/talence-1991/
Robert de Wit,7846,11.33,7.01,14.84,1.85,49.96,14.77,45.0,4.8,62.24,275.51,https://www.decathlon2000.com/704/talence-1991/
Dan O'Brien®,8891,10.43,8.08,16.69,2.07,48.51,13.98,48.56,5.0,62.58,282.1,https://www.decathlon2000.com/734/talence-1992/
Robert Zmelik,8344,10.75,7.67,13.26,2.07,49.62,14.1,45.4,4.8,61.08,272.67,https://www.decathlon2000.com/734/talence-1992/
Alain Blondel,8285,11.1,7.32,13.4,2.01,49.39,14.68,44.84,5.1,64.46,260.42,https://www.decathlon2000.com/734/talence-1992/
Brian Brophy,8165,11.4,7.16,15.13,2.04,49.5,14.78,53.84,4.7,59.32,278.57,https://www.decathlon2000.com/734/talence-1992/
Steve Fritz,8045,10.85,7.03,13.58,2.07,49.89,14.49,44.06,4.6,62.48,274.63,https://www.decathlon2000.com/734/talence-1992/
Robert Muzzio,7957,11.42,6.88,16.02,1.95,50.63,14.81,47.96,4.8,59.56,272.78,https://www.decathlon2000.com/734/talence-1992/
Sebastien Levicq,7498,11.55,7.0,13.31,1.95,53.23,15.41,39.08,5.0,63.96,281.55,https://www.decathlon2000.com/734/talence-1992/
Steve Fritz,8317,10.98,7.57,13.68,2.06,49.69,14.21,44.32,5.0,62.62,274.5,https://www.decathlon2000.com/735/talence-1993/
Christian Plaziat,8234,11.06,7.59,15.38,2.06,48.71,14.42,40.64,4.9,56.36,273.58,https://www.decathlon2000.com/735/talence-1993/
Vitali Kolpakov,8162,11.24,7.59,15.38,2.09,48.73,14.65,46.88,4.8,59.36,285.76,https://www.decathlon2000.com/735/talence-1993/
Alain Blondel,8143,11.13,7.43,13.02,2.0,49.12,14.56,40.7,5.1,59.68,260.21,https://www.decathlon2000.com/735/talence-1993/
Andrew Fucci,7867,11.12,7.43,11.95,2.0,49.79,14.25,42.56,5.1,59.14,299.95,https://www.decathlon2000.com/735/talence-1993/
William Motti,7786,11.68,6.99,14.64,2.06,51.28,15.4,50.0,4.6,68.78,302.92,https://www.decathlon2000.com/735/talence-1993/
Kip Janvrin,7743,11.27,6.88,13.42,1.88,48.86,15.28,46.08,4.7,58.38,267.22,https://www.decathlon2000.com/735/talence-1993/
Sebastien Levicq,7631,11.44,7.03,12.64,1.94,51.31,15.11,43.14,5.0,60.76,281.33,https://www.decathlon2000.com/735/talence-1993/
Aric Long,7584,11.57,6.99,14.41,2.09,51.7,15.13,45.2,4.8,55.02,303.37,https://www.decathlon2000.com/735/talence-1993/
Ramil Ganiyev,7581,11.29,7.28,13.9,2.06,50.59,14.81,41.78,4.7,43.88,286.2,https://www.decathlon2000.com/735/talence-1993/
