Athlete_Name,Total_Points,100m,Long_Jump,Shot_Put,High_Jump,400m,110m_Hurdles,Pole_Vault,Discus,Javelin,1500m,Source_URL
Tony Linhart,5074,11.46,5.80,10.18,1.66,53.49,18.31,3.70,24.17,31.59,330.47,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Pierce Blue,4976,11.54,5.65,10.90,1.84,55.27,17.27,2.70,0,48.24,313.13,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Alan Lefevre,4907,11.38,4.90,12.77,0,52.19,15.63,3.80,38.61,38.72,0.0,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Timothy Wilkerson,4836,11.56,6.19,8.56,1.42,53.29,16.2,2.40,22.59,33.73,317.09,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Luke Hampl,4654,11.88,5.72,11.03,1.81,59.72,16.45,0,28.69,28.93,322.22,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Luke Buddie,7168,11.21,6.96,12.74,1.95,51.76,15.07,4.40,34.75,50.23,279.65,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Ronin Tidd,6757,11.5,6.40,12.22,1.83,52.05,16.28,4.40,36.43,53.92,283.15,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Blake Gross,6718,10.77,6.56,10.61,1.74,48.89,15.77,4.20,30.62,44.28,274.23,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Brock Gross,6706,10.96,6.61,11.41,1.71,49.33,15.31,3.90,33.81,44.09,276.96,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Collin Friedman,6680,11.24,6.71,10.66,1.77,52.24,15.95,4.60,31.67,52.47,287.37,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Jackson Paramo,6486,11.01,6.08,10.82,1.74,49.13,16.87,4.50,31.74,42.13,278.91,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Tobin Schmidtke,6428,11.73,6.73,11.33,1.62,51.79,16.05,4.30,32.45,49.63,281.94,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Lavell Cross,6301,11.06,6.58,10.66,1.77,51.6,15.49,4.20,31.90,47.09,338.85,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Bryce Pearson,6272,11.24,6.10,11.26,1.74,50.38,15.73,3.80,33.62,38.01,285.43,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Miguel Long,6127,11.47,6.72,10.29,1.77,52.29,16.51,3.10,35.81,47.38,290.36,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Justin Reichenberg,6071,11.06,6.57,12.26,1.77,50.74,15.72,0,37.11,44.18,287.75,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Cole Oliver,6007,11.49,6.45,11.91,1.92,51.49,16.26,3.00,33.00,36.28,308.07,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
