Name,Points,100m,Long_Jump,Shot_Put,High_Jump,400m,110m_Hurdles,Discus,Pole_Vault,Javelin,1500m,Event_URL
Robert Jacob Arnold,8159,10.99,6.92,15.34,2.0,49.13,14.11,48.15,5.0,58.56,290.71,https://www.decathlon2000.com/1541/kladno-2010/
Brent Newdick,8091,11.08,7.37,13.96,1.91,49.4,14.71,46.68,4.7,64.09,269.35,https://www.decathlon2000.com/1541/kladno-2010/
Eduard Mikhan,7999,10.94,7.4,13.89,1.94,48.47,14.38,44.36,4.6,52.75,267.84,https://www.decathlon2000.com/1541/kladno-2010/
Vasili Kharlamov,7930,11.28,7.34,14.75,1.91,50.37,15.15,46.78,4.9,59.77,278.25,https://www.decathlon2000.com/1541/kladno-2010/
Marcin Drozdz,7817,11.28,7.08,13.43,2.09,51.09,14.76,44.88,5.0,57.78,296.04,https://www.decathlon2000.com/1541/kladno-2010/
Ivan Scolfaro da Silva,7657,11.36,7.01,13.0,2.0,50.0,14.75,40.3,4.6,59.1,275.46,https://www.decathlon2000.com/1541/kladno-2010/
Pavel Baar,7544,10.99,6.93,13.75,1.94,48.83,14.9,39.72,4.3,56.93,286.74,https://www.decathlon2000.com/1541/kladno-2010/
Hamdi Dhouibi,7539,11.12,6.81,14.1,1.82,48.88,14.69,43.9,4.6,50.83,281.75,https://www.decathlon2000.com/1541/kladno-2010/
Jaroslav Hedvicak,7330,10.79,7.24,11.42,1.97,48.27,14.92,32.98,4.5,43.19,280.48,https://www.decathlon2000.com/1541/kladno-2010/
Adam Pašiak,7241,11.22,7.48,13.13,2.0,54.06,16.54,42.63,5.1,52.86,325.68,https://www.decathlon2000.com/1541/kladno-2010/
Kyle McCarthy,7235,11.52,6.55,14.53,1.88,50.48,15.74,40.18,4.5,56.63,284.68,https://www.decathlon2000.com/1541/kladno-2010/
Scott McLaren,7060,11.47,6.57,13.47,1.88,50.65,15.9,41.11,4.4,50.58,284.61,https://www.decathlon2000.com/1541/kladno-2010/
Leonel Suarez,8231,11.17,7.02,13.59,2.07,49.55,14.67,45.66,5.0,67.18,267.98,https://www.decathlon2000.com/3209/kladno-2011/
Hans van Alphen,8120,11.25,7.45,15.04,1.92,49.0,15.02,43.67,4.6,66.21,261.78,https://www.decathlon2000.com/3209/kladno-2011/
Willem Coertzen,8094,11.23,7.26,14.08,2.01,48.87,14.51,42.73,4.5,66.38,266.07,https://www.decathlon2000.com/3209/kladno-2011/
Dmitri Karpov,8089,11.02,6.87,16.69,1.98,49.77,14.65,51.18,5.1,51.82,292.73,https://www.decathlon2000.com/3209/kladno-2011/
Carlos Eduardo Chinin,8068,11.08,7.39,13.57,2.07,49.38,14.33,44.99,4.7,55.47,274.42,https://www.decathlon2000.com/3209/kladno-2011/
Yordani Garcia,8067,10.85,6.87,14.77,2.01,49.5,14.36,41.97,4.9,59.84,274.77,https://www.decathlon2000.com/3209/kladno-2011/
Romain Barras,8010,11.33,7.15,15.22,1.98,49.75,14.58,43.2,4.6,61.83,265.97,https://www.decathlon2000.com/3209/kladno-2011/
Kevin Mayer,7992,11.23,7.34,12.44,2.01,48.66,14.74,38.64,4.9,60.96,259.79,https://www.decathlon2000.com/3209/kladno-2011/
Gaël Quérin,7939,11.25,7.36,13.37,1.98,48.65,14.57,40.46,4.6,55.11,254.52,https://www.decathlon2000.com/3209/kladno-2011/
Darius Draudvila,7734,10.84,7.27,15.61,1.98,49.49,14.31,41.52,4.5,55.2,319.7,https://www.decathlon2000.com/3209/kladno-2011/
Stephen Cain,7734,11.42,6.9,14.22,1.95,50.39,15.0,42.5,4.8,59.88,272.75,https://www.decathlon2000.com/3209/kladno-2011/
Brent Newdick,7695,11.07,7.06,14.24,1.92,49.62,14.9,44.79,4.6,54.01,284.37,https://www.decathlon2000.com/3209/kladno-2011/
Einar Dadi Larusson,7587,11.2,7.08,12.38,2.01,49.3,14.94,37.01,4.8,54.95,280.72,https://www.decathlon2000.com/3209/kladno-2011/
Junior Diaz,7510,10.85,6.94,14.05,1.89,47.96,15.57,41.29,4.3,52.33,281.4,https://www.decathlon2000.com/3209/kladno-2011/
Dmitri Karpov,8173,11.12,7.14,16.12,2.04,48.86,14.26,51.58,4.77,50.45,285.52,https://www.decathlon2000.com/3210/kladno-2012/
Roman Šebrle,8097,11.38,7.49,15.47,2.01,51.14,14.61,44.78,4.77,66.93,284.86,https://www.decathlon2000.com/3210/kladno-2012/
Pelle Rietveld,8073,10.98,7.19,14.35,1.86,47.78,14.09,41.51,4.97,60.65,277.93,https://www.decathlon2000.com/3210/kladno-2012/
Adam Sebastian Helcelet,8044,11.12,7.18,15.05,2.04,49.55,14.29,40.31,4.87,61.95,286.68,https://www.decathlon2000.com/3210/kladno-2012/
Einar Dadi Larusson,7898,11.23,7.35,13.99,2.04,49.16,14.49,38.74,4.77,56.03,277.12,https://www.decathlon2000.com/3210/kladno-2012/
Ali Kame,7443,11.39,7.23,12.86,1.92,50.2,14.85,38.47,4.27,60.93,283.81,https://www.decathlon2000.com/3210/kladno-2012/
Benjamin Hazell,7431,11.74,6.63,13.76,1.95,50.89,15.12,44.99,4.27,58.95,270.99,https://www.decathlon2000.com/3210/kladno-2012/
Michal Štefek,7364,11.14,6.88,13.07,1.92,48.93,15.68,38.65,4.37,57.06,283.44,https://www.decathlon2000.com/3210/kladno-2012/
Marek Lukaš,7255,11.52,6.98,13.68,1.83,51.62,14.67,36.96,4.27,63.86,291.0,https://www.decathlon2000.com/3210/kladno-2012/
Edward Dunford,7221,11.42,6.6,14.97,1.92,50.76,14.9,39.9,4.27,54.68,300.47,https://www.decathlon2000.com/3210/kladno-2012/
Andrei Krauchanka,8380,11.23,7.64,14.96,2.09,49.17,14.14,47.11,4.82,62.57,281.08,https://www.decathlon2000.com/3225/kladno-2013/
Dmitri Karpov,7978,10.99,7.11,16.21,1.94,48.95,14.5,50.14,5.02,48.59,305.34,https://www.decathlon2000.com/3225/kladno-2013/
Marek Lukaš,7753,11.09,7.17,13.46,1.88,50.64,14.71,40.35,4.62,69.17,284.51,https://www.decathlon2000.com/3225/kladno-2013/
Pawel Wiesiolek,7720,11.12,7.08,12.57,2.09,49.47,14.74,43.07,4.52,53.96,282.37,https://www.decathlon2000.com/3225/kladno-2013/
Jaroslav Hedvicak,7437,10.87,6.8,12.14,1.91,48.79,14.91,37.07,4.62,50.88,275.64,https://www.decathlon2000.com/3225/kladno-2013/
Pavel Baar,7402,11.15,6.91,12.91,1.91,49.44,15.08,39.02,4.52,55.67,287.65,https://www.decathlon2000.com/3225/kladno-2013/
Guillaume Thierry,7216,11.58,6.83,13.72,1.88,52.45,15.53,44.44,4.52,60.44,303.05,https://www.decathlon2000.com/3225/kladno-2013/
Vaclav Sedlak,7038,11.31,6.67,12.19,1.88,50.18,14.41,38.54,4.42,40.92,286.41,https://www.decathlon2000.com/3225/kladno-2013/
Dominik Siedlaczek,6998,11.3,6.73,13.39,2.0,51.07,14.62,36.09,4.02,41.68,289.55,https://www.decathlon2000.com/3225/kladno-2013/
Adam Hromcik,6996,11.15,7.07,11.59,1.82,50.18,15.01,37.84,4.22,45.1,286.06,https://www.decathlon2000.com/3225/kladno-2013/
Michal Štefek,6828,11.31,6.58,13.43,1.79,50.74,15.68,36.74,4.02,55.7,299.63,https://www.decathlon2000.com/3225/kladno-2013/
Olexiy Kasyanov,8083,10.77,7.33,14.08,2.0,48.84,14.03,43.15,4.75,49.5,274.28,https://www.decathlon2000.com/3843/kladno-2014/
Adam Sebastian Helcelet,7989,11.03,7.22,14.41,1.97,50.1,14.31,43.81,4.75,61.55,283.6,https://www.decathlon2000.com/3843/kladno-2014/
Eduard Mikhan,7987,10.87,6.95,14.55,1.91,49.55,14.67,49.88,4.85,53.33,274.72,https://www.decathlon2000.com/3843/kladno-2014/
Lars Vikan Rise,7918,11.32,7.03,16.05,2.06,51.15,15.69,44.3,4.55,68.03,280.52,https://www.decathlon2000.com/3843/kladno-2014/
Mikk Pahapill,7892,11.26,7.01,14.95,1.97,51.03,14.77,47.18,4.95,55.71,279.78,https://www.decathlon2000.com/3843/kladno-2014/
Marek Lukaš,7742,10.98,7.09,14.04,1.91,50.4,14.56,39.98,4.55,61.05,277.5,https://www.decathlon2000.com/3843/kladno-2014/
Felipe dos Santos,7652,10.68,7.11,13.41,2.0,49.37,14.22,42.54,4.25,50.8,294.8,https://www.decathlon2000.com/3843/kladno-2014/
Brent Newdick,7506,11.04,7.08,13.39,1.94,51.03,14.86,43.13,4.45,50.67,281.18,https://www.decathlon2000.com/3843/kladno-2014/
Andres Raja,7455,11.16,6.64,14.31,1.97,49.83,14.26,44.72,4.35,57.28,321.72,https://www.decathlon2000.com/3843/kladno-2014/
Vasyl Ivanytskyy,7448,11.08,7.31,12.56,2.0,50.85,15.79,40.06,4.55,54.14,284.8,https://www.decathlon2000.com/3843/kladno-2014/
Guillaume Thierry,7389,11.48,6.89,13.22,1.88,52.49,15.17,43.91,4.65,62.41,290.97,https://www.decathlon2000.com/3843/kladno-2014/
Pavel Baar,7314,11.14,6.86,13.54,1.91,50.24,15.18,39.97,4.35,54.45,290.88,https://www.decathlon2000.com/3843/kladno-2014/
Marek Lukaš,7892,11.05,7.06,14.35,1.93,50.0,14.56,40.38,4.55,65.83,271.84,https://www.decathlon2000.com/3844/kladno-2015/
Martin Roe,7842,10.95,7.42,15.15,1.9,49.2,15.35,44.81,4.45,58.21,282.95,https://www.decathlon2000.com/3844/kladno-2015/
Romain Martin,7825,11.16,6.97,14.22,2.02,49.25,14.81,39.26,4.75,59.18,277.71,https://www.decathlon2000.com/3844/kladno-2015/
Lars Vikan Rise,7715,11.42,6.98,15.42,2.05,51.26,15.7,42.99,4.45,63.05,278.35,https://www.decathlon2000.com/3844/kladno-2015/
David Hall,7651,10.84,6.83,12.16,1.96,46.98,14.98,37.86,4.45,53.43,264.79,https://www.decathlon2000.com/3844/kladno-2015/
Anderson Estevao Venancio,7539,11.12,6.96,12.92,1.93,50.23,14.7,43.92,4.65,58.41,302.43,https://www.decathlon2000.com/3844/kladno-2015/
Stefan Matula,7452,10.98,7.21,14.28,1.81,51.11,14.7,40.08,4.35,54.68,284.56,https://www.decathlon2000.com/3844/kladno-2015/
Guillaume Thierry,7417,11.71,6.9,13.84,1.9,52.16,15.29,43.95,4.55,63.35,285.81,https://www.decathlon2000.com/3844/kladno-2015/
Florent Lomba Bilisi,7157,11.46,7.04,12.63,1.99,49.8,14.65,38.55,4.05,47.96,294.09,https://www.decathlon2000.com/3844/kladno-2015/
Jack Andrew,7055,11.42,6.59,12.2,1.9,50.24,15.28,37.25,4.45,43.83,267.41,https://www.decathlon2000.com/3844/kladno-2015/
Lars Vikan Rise,7925,11.32,7.02,16.02,2.01,50.71,15.56,44.4,4.6,66.82,276.74,https://www.decathlon2000.com/3912/kladno-2016/
Marek Lukaš,7903,11.0,6.85,14.58,1.92,50.0,14.27,40.18,4.5,68.96,275.05,https://www.decathlon2000.com/3912/kladno-2016/
Mikk Pahapill,7814,11.37,7.04,15.14,1.95,52.15,14.89,47.08,4.8,61.18,283.45,https://www.decathlon2000.com/3912/kladno-2016/
Jan Doležal,7730,11.09,7.03,13.38,1.98,49.76,14.72,48.52,4.6,53.07,289.94,https://www.decathlon2000.com/3912/kladno-2016/
Ashley Bryant,7715,11.18,7.08,13.74,1.98,49.99,14.65,42.28,4.3,63.69,284.83,https://www.decathlon2000.com/3912/kladno-2016/
Ben Gregory,7702,11.22,7.04,12.93,1.92,50.09,14.58,40.26,4.9,57.22,274.41,https://www.decathlon2000.com/3912/kladno-2016/
Roman Gastaldi,7695,11.06,6.98,14.19,2.01,49.79,14.93,43.48,4.5,54.08,283.33,https://www.decathlon2000.com/3912/kladno-2016/
Martin Roe,7666,10.9,7.17,15.2,1.86,50.06,15.44,45.45,4.4,60.16,294.45,https://www.decathlon2000.com/3912/kladno-2016/
